Seed	Size	Fitness	Members
YAR018C	84	0.841762005	YBL105C,YGR188C,YHR205W,YNL298W,YOL113W,YGR092W,YDL101C,YHL007C,YDR122W,YLR096W,YLR362W,YNL161W,YDR283C,YFL033C,YPL153C,YBL016W,YDR247W,YAL017W,YDR477W,YDR490C,YDR507C,YER123W,YER129W,YFL029C,YBR059C,YFR014C,YGL158W,YGL180W,YGR040W,YGR052W,YBR097W,YBR160W,YBR274W,YHR030C,YHR079C,YHR082C,YHR102W,YHR135C,YCL024W,YIL035C,YIL095W,YJL095W,YJL128C,YJL141C,YJL164C,YJL165C,YJL187C,YJR059W,YKL048C,YKL101W,YKL139W,YKL166C,YKL171W,YCR008W,YLR113W,YLR248W,YDL017W,YMR001C,YMR139W,YMR216C,YNL020C,YNL154C,YDL028C,YAR019C,YNL307C,YNR031C,YOL016C,YOL045W,YDL108W,YOL128C,YOR061W,YOR231W,YOR233W,YOR267C,YPL026C,YPL031C,YPL140C,YDL159W,YPL203W,YPL204W,YPL209C,YPR054W,YPR161C
YAR019C	86	0.808507959	YJL076W,YBL105C,YNL161W,YPL204W,YBR160W,YOR061W,YDR477W,YIL035C,YPL209C,YDL017W,YDL101C,YOL113W,YDL108W,YNL298W,YLR096W,YPL153C,YGR188C,YLR362W,YHL007C,YFL033C,YDR283C,YBL016W,YDL159W,YKL166C,YJL164C,YPL203W,YKL139W,YBR097W,YPL031C,YPR161C,YFR014C,YNR031C,YOL016C,YOL045W,YGR052W,YOL128C,YDR247W,YPL026C,YER123W,YKL171W,YHR102W,YLR248W,YFL029C,YNL154C,YPR054W,YBR274W,YHR082C,YJL141C,YGL180W,YHR079C,YCR008W,YJL165C,YJR059W,YGL158W,YHR135C,YDR490C,YGR040W,YNL020C,YKL048C,YMR139W,YIL095W,YMR216C,YJL128C,YPL140C,YJL095W,YOR267C,YLR113W,YOR231W,YBR059C,YCL024W,YDL028C,YKL101W,YOR233W,YDR507C,YHR030C,YDR122W,YNL307C,YER129W,YJL187C,YMR001C,YGR092W,YAL017W,YAR018C,YIL106W,YFL034C-B
YAR033W	2	1	YGL051W
YAR042W	16	0.372867085	YDL019C,YLR425W,YPL115C,YER111C,YDR264C,YIR033W,YOR034C,YKL020C,YJR092W,YLR182W,YHR001W,YNL257C,YHR073W,YGR097W,YPL145C
YBL002W	17	0.41350159	YNL031C,YNL030W,YBL003C,YDR225W,YBR010W,YBR009C,YDR224C,YAL019W,YOL012C,YKL049C,YER030W,YBL025W,YMR270C,YLR141W,YDL074C,YOL054W
YBL003C	16	0.41180007	YBL002W,YNL031C,YNL030W,YDR225W,YBR010W,YBR009C,YDR224C,YAL019W,YOL012C,YKL049C,YBL025W,YMR270C,YLR141W,YER030W,YDL074C
YBL006C	19	0.651268409	YGR056W,YLR357W,YKR008W,YLR033W,YCR020W-B,YHR056C,YDR303C,YCR052W,YLR321C,YFR037C,YMR091C,YML127W,YIL126W,YPR034W,YMR033W,YGR275W,YLR399C,YGR270W
YBL007C	5	0.366289149	YNL084C,YIR006C,YGR241C,YNL243W
YBL008W	4	0.180093931	YOR038C,YJR140C,YBR215W
YBL011W	2	1	YPR140W
YBL014C	3	1	YJL025W,YML043C
YBL016W	4	0.138402863	YLR362W,YDL159W,YDR103W
YBL018C	10	1	YAL033W,YGR030C,YBR167C,YHR062C,YNL221C,YBR257W,YNL282W,YDR478W,YLR145W
YBL019W	2	0.009076983	YAL021C
YBL022C	12	0.284880267	YMR089C,YER017C,YPR024W,YDR258C,YNL329C,YPR173C,YLL034C,YLR397C,YLL026W,YGR231C,YGR132C
YBL023C	7	0.537680185	YEL032W,YBR202W,YLR274W,YPR019W,YGL201C,YDR052C
YBL024W	2	0.012604193	YNL061W
YBL025W	4	0.240876131	YOR295W,YMR270C,YLR141W
YBL026W	20	0.558647344	YJR022W,YER146W,YER112W,YDR378C,YNL147W,YLR438C-A,YGR006W,YDL098C,YBR152W,YGR091W,YBR055C,YDR473C,YOR308C,YPR178W,YPR082C,YKL173W,YEL026W,YJL124C,YOR310C
YBL030C	9	1	YBR104W,YBR192W,YDL198C,YFR045W,YIL006W,YMR056C,YMR241W,YPR128C
YBL032W	4	0.024399294	YLR116W,YNL210W,YJL080C
YBL035C	4	0.601870191	YNL102W,YKL045W,YIR008C
YBL038W	42	0.940055153	YPR100W,YLR312W-A,YNL185C,YMR286W,YKL138C,YKL170W,YBR268W,YCR046C,YNL177C,YGL068W,YOR150W,YPL183W-A,YJL063C,YMR193W,YDR115W,YDL202W,YDR116C,YGR076C,YNR022C,YMR225C,YKR085C,YHR147C,YCR003W,YJL096W,YCR071C,YDR462W,YNL284C,YMR024W,YBR282W,YDR405W,YNL252C,YDR237W,YDR322W,YNL005C,YML009C,YPL173W,YLR439W,YBR122C,YKR006C,YKL167C,YML025C
YBL041W	14	0.774283735	YGR253C,YGR135W,YOR157C,YFR050C,YML092C,YER094C,YOL038W,YOR362C,YGL011C,YMR314W,YER012W,YJL001W,YPR103W
YBL042C	2	1	YER056C
YBL045C	13	0.81835683	YPR191W,Q0105,YGR183C,YDR529C,YHR001W-A,YFR033C,YJL166W,YEL024W,YPR122W,YDR430C,YNR018W,YML030W
YBL046W	3	0.391399134	YDR075W,YNL201C
YBL047C	8	0.199490707	YMR276W,YEL037C,YBR058C,YGL181W,YOR138C,YER143W,YER162C
YBL051C	7	0.066485279	YBR119W,YHR086W,YPL043W,YPR112C,YNL286W,YPR163C
YBL052C	3	0.09555492	YPR031W,YOR064C
YBL056W	6	0.499637998	YJL005W,YCR079W,YDL006W,YER089C,YBR125C
YBL058W	6	0.247168564	YJL048C,YMR067C,YBR273C,YDR330W,YML013W
YBL060W	5	0.809169089	YDR170C,YEL022W,YJR031C,YPR095C
YBL061C	2	0.071021648	YDL203C
YBL063W	6	0.783246031	YEL061C,YGL216W,YKL079W,YPL155C,YPR141C
YBL064C	4	0.982341546	YDR453C,YML028W,YIL010W
YBL068W	5	0.995904743	YHL011C,YER099C,YOL061W,YKL181W
YBL069W	2	1	YMR318C
YBL072C	48	0.946668572	YER102W,YMR116C,YLR048W,YNL096C,YPL081W,YJL136C,YDL083C,YNL302C,YLR167W,YGR118W,YLR264W,YOR167C,YOR293W,YHR021C,YPR132W,YKL156W,YMR230W,YML063W,YIL069C,YDR450W,YML026C,YOL121C,YER074W,YMR143W,YGL189C,YJL191W,YER131W,YDR447C,YML024W,YHL015W,YPL090C,YKR057W,YOL040C,YCR031C,YGL123W,YDR025W,YBR181C,YBR189W,YBR048W,YJR123W,YNL178W,YLR441C,YDR064W,YOR096W,YGR214W,YER126C,YOR119C
YBL075C	3	0.259305389	YMR186W,YNL064C
YBL079W	3	0.406113483	YMR153W,YDL088C
YBL084C	15	0.827713456	YKL022C,YHR166C,YGL003C,YFR036W,YDL008W,YIR025W,YOR249C,YGL240W,YLR102C,YLR127C,YNL172W,YDR118W,YDR260C,YCR060W
YBL085W	11	0.633648942	YER114C,YIL068C,YPR055W,YLR166C,YJL085W,YBR102C,YER008C,YGL233W,YDR166C,YOR359W
YBL088C	6	0.06551026	YHR099W,YJR066W,YKL203C,YBR136W,YLR240W
YBL090W	30	0.907584493	YNL081C,YPR166C,YPL013C,YDL045W-A,YMR188C,YPL118W,YMR158W,YER050C,YKL003C,YGR165W,YDR347W,YGR084C,YOR158W,YIL093C,YJR101W,YGL129C,YBR146W,YNL306W,YNL137C,YDR337W,YJR113C,YGR215W,YNR037C,YDR175C,YDR041W,YKL155C,YBR251W,YHL004W,Q0140
YBL093C	24	0.899207732	YNL025C,YDR443C,YCR081W,YPL042C,YGL127C,YHR041C,YDL005C,YBR253W,YNL236W,YER022W,YGL025C,YGR104C,YOL051W,YLR071C,YPR070W,YDR308C,YBR193C,YOL135C,YNR010W,YPR168W,YHR058C,YGL151W,YOR174W
YBL097W	5	0.65736634	YLR086W,YFR031C,YDR325W,YLR272C
YBL099W	15	0.913398736	YDL004W,YDR322C-A,YLR295C,YML081C-A,YOL077W-A,YPR020W,YPL271W,Q0080,YDR377W,YDR298C,YKL016C,Q0130,Q0085,YPL078C
YBL101C	4	0.994588522	YGL045W,YOR018W,YPR030W
YBL102W	2	1	YMR292W
YBL103C	5	0.168882989	YOL067C,YOR032C,YFR034C,YOR344C
YBL105C	84	0.836585005	YHR205W,YNL161W,YGR092W,YBL016W,YAR019C,YOL113W,YNL298W,YLR362W,YHL007C,YGR188C,YPL153C,YDL101C,YLR096W,YFL033C,YDR283C,YDR122W,YPL204W,YIL035C,YDL159W,YOR061W,YBR097W,YDR477W,YDL017W,YKL139W,YPR161C,YPL209C,YKL166C,YJL164C,YPL031C,YPL203W,YCR008W,YLR248W,YBR274W,YNL154C,YDR490C,YHR079C,YNR031C,YOL016C,YOL045W,YHR102W,YOL128C,YER123W,YPL026C,YFL029C,YJL141C,YDR247W,YKL048C,YFR014C,YGR052W,YPR054W,YKL171W,YDL028C,YGL158W,YJL165C,YOR233W,YOR267C,YMR139W,YJR059W,YKL101W,YJL128C,YPL140C,YBR059C,YCL024W,YMR216C,YOR231W,YNL307C,YHR082C,YLR113W,YGR040W,YER129W,YDR507C,YJL095W,YHR030C,YGL180W,YJL187C,YMR001C,YBR160W,YHR135C,YNL020C,YIL095W,YNL152W,YAR018C,YAL017W
YBR005W	2	1	YDR003W
YBR009C	16	0.50379152	YBL025W,YBR010W,YBL002W,YBL003C,YDR225W,YNL031C,YNL030W,YDR224C,YOR295W,YMR270C,YLR141W,YAL019W,YOL012C,YKL049C,YER030W
